nombre,instagram,website,maps_url
Café Terrario,https://www.instagram.com/cafeterrario/,https://www.instagram.com/cafeterrario/,https://www.google.com/maps/place/Caf%C3%A9+Terrario/data=!4m7!3m6!1s0x8e4429cd3c388161:0x4c6f45bc17fedbf0!8m2!3d6.2416811!4d-75.5928821!16s%2Fg%2F11h91jbhhg!19sChIJYYE4PM0pRI4R8Nv-F7xFb0w?authuser=0&hl=en&rclk=1
La Civeta & el Elefante - Café,https://www.instagram.com/lacivetayelelefante/,https://www.instagram.com/lacivetayelelefante/,https://www.google.com/maps/place/La+Civeta+%26+el+Elefante+-+Caf%C3%A9/data=!4m7!3m6!1s0x8e442996ec3566ad:0xab4a0d380bf4d1f8!8m2!3d6.2353151!4d-75.6012536!16s%2Fg%2F11f_b_d9dq!19sChIJrWY17JYpRI4R-NH0CzgNSqs?authuser=0&hl=en&rclk=1
Indeleble Café Cultural,https://instagram.com/indeleblecafecultural?igshid=YmMyMTA2M2Y=,https://instagram.com/indeleblecafecultural?igshid=YmMyMTA2M2Y=,https://www.google.com/maps/place/Indeleble+Caf%C3%A9+Cultural/data=!4m7!3m6!1s0x8e44298e6737558d:0x9d894c58e4f31e7d!8m2!3d6.2458091!4d-75.5630056!16s%2Fg%2F11t9qk4tdw!19sChIJjVU3Z44pRI4RfR7z5FhMiZ0?authuser=0&hl=en&rclk=1
Panorama Rooftop bar,https://www.instagram.com/panoramarooftopbar/,https://www.instagram.com/panoramarooftopbar/,https://www.google.com/maps/place/Panorama+Rooftop+bar/data=!4m7!3m6!1s0x8e4429a135bcea9d:0xeee629ca78a022a5!8m2!3d6.2453214!4d-75.5919423!16s%2Fg%2F11fy7h6d8c!19sChIJneq8NaEpRI4RpSKgeMop5u4?authuser=0&hl=en&rclk=1
Passion Café Unicentro,https://www.instagram.com/passioncafee/,https://www.instagram.com/passioncafee/,https://www.google.com/maps/place/Passion+Caf%C3%A9+Unicentro/data=!4m7!3m6!1s0x8e4429a50a09dd95:0x2ac5fcfaf9f32d9b!8m2!3d6.2407937!4d-75.5863975!16s%2Fg%2F1ptx0lfmq!19sChIJld0JCqUpRI4Rmy3z-fr8xSo?authuser=0&hl=en&rclk=1
La Fábrica.café | Tostamos y servimos café local en el centro de Medellín |,https://www.instagram.com/lafabrica.cafe/?hl=es,https://www.instagram.com/lafabrica.cafe/?hl=es,https://www.google.com/maps/place/La+F%C3%A1brica.caf%C3%A9+%7C+Tostamos+y+servimos+caf%C3%A9+local+en+el+centro+de+Medell%C3%ADn+%7C/data=!4m7!3m6!1s0x8e4429ec8fd8d0f7:0x63c4a03ca0c1befa!8m2!3d6.2361141!4d-75.5731415!16s%2Fg%2F11h650m22p!19sChIJ99DYj-wpRI4R-r7BoDygxGM?authuser=0&hl=en&rclk=1
Cafe Uincluye,https://www.instagram.com/cafeuincluye/,https://www.instagram.com/cafeuincluye/,https://www.google.com/maps/place/Cafe+Uincluye/data=!4m7!3m6!1s0x8e44290055c4aa17:0xe98f530e26cf3482!8m2!3d6.2511411!4d-75.5673321!16s%2Fg%2F11lymcr78l!19sChIJF6rEVQApRI4RgjTPJg5Tj-k?authuser=0&hl=en&rclk=1
BARCELONA: bar & smart restaurant,https://instagram.com/barcelonasmartmed?utm_medium=copy_link,https://instagram.com/barcelonasmartmed?utm_medium=copy_link,https://www.google.com/maps/place/BARCELONA:+bar+%26+smart+restaurant/data=!4m7!3m6!1s0x8e4429a51ac5f24f:0xfe92d5e2b3082ad2!8m2!3d6.2481726!4d-75.5883669!16s%2Fg%2F11rrp9z8g_!19sChIJT_LFGqUpRI4R0ioIs-LVkv4?authuser=0&hl=en&rclk=1
Versalles | Restaurant & Pastry shop,https://instagram.com/salonversalles,https://instagram.com/salonversalles,https://www.google.com/maps/place/Versalles+%7C+Restaurant+%26+Pastry+shop/data=!4m7!3m6!1s0x8e4428f90a80e043:0xcc14651a9c56ba7c!8m2!3d6.2519694!4d-75.5653528!16s%2Fg%2F1vysxkz_!19sChIJQ-CACvkoRI4RfLpWnBplFMw?authuser=0&hl=en&rclk=1
88 CAFÉ & DELI,https://www.instagram.com/88cafedeli?igsh=dTVhNW56OXFsMm84,https://www.instagram.com/88cafedeli?igsh=dTVhNW56OXFsMm84,https://www.google.com/maps/place/88+CAF%C3%89+%26+DELI/data=!4m7!3m6!1s0x8e4429f884800811:0x561192bb7acc8c7a!8m2!3d6.257047!4d-75.5824884!16s%2Fg%2F11j8_p76xm!19sChIJEQiAhPgpRI4ReozMeruSEVY?authuser=0&hl=en&rclk=1
